OMRÅDE;KØN;ALDER;TID;INDHOLD
Hele landet;I alt;Alder i alt;2026K1;6025603
Region Hovedstaden;I alt;Alder i alt;2026K1;1947212
København;I alt;Alder i alt;2026K1;671714
Frederiksberg;I alt;Alder i alt;2026K1;106150
Dragør;I alt;Alder i alt;2026K1;14474
Tårnby;I alt;Alder i alt;2026K1;44214
Albertslund;I alt;Alder i alt;2026K1;29262
Ballerup;I alt;Alder i alt;2026K1;53950
Brøndby;I alt;Alder i alt;2026K1;40990
Gentofte;I alt;Alder i alt;2026K1;75106
Gladsaxe;I alt;Alder i alt;2026K1;71185
Glostrup;I alt;Alder i alt;2026K1;25834
Herlev;I alt;Alder i alt;2026K1;32030
Hvidovre;I alt;Alder i alt;2026K1;54228
Høje-Taastrup;I alt;Alder i alt;2026K1;60458
Ishøj;I alt;Alder i alt;2026K1;24685
Lyngby-Taarbæk;I alt;Alder i alt;2026K1;58614
Rødovre;I alt;Alder i alt;2026K1;45138
Vallensbæk;I alt;Alder i alt;2026K1;18689
Allerød;I alt;Alder i alt;2026K1;26496
Egedal;I alt;Alder i alt;2026K1;46240
Fredensborg;I alt;Alder i alt;2026K1;42445
Frederikssund;I alt;Alder i alt;2026K1;47450
Furesø;I alt;Alder i alt;2026K1;42874
Gribskov;I alt;Alder i alt;2026K1;41787
Halsnæs;I alt;Alder i alt;2026K1;31738
Helsingør;I alt;Alder i alt;2026K1;64244
Hillerød;I alt;Alder i alt;2026K1;55182
Hørsholm;I alt;Alder i alt;2026K1;25354
Rudersdal;I alt;Alder i alt;2026K1;57912
Bornholm;I alt;Alder i alt;2026K1;38677
Christiansø;I alt;Alder i alt;2026K1;92
Region Sjælland;I alt;Alder i alt;2026K1;858102
Greve;I alt;Alder i alt;2026K1;54120
Køge;I alt;Alder i alt;2026K1;63962
Lejre;I alt;Alder i alt;2026K1;29879
Roskilde;I alt;Alder i alt;2026K1;92697
Solrød;I alt;Alder i alt;2026K1;25040
Faxe;I alt;Alder i alt;2026K1;38143
Guldborgsund;I alt;Alder i alt;2026K1;59119
Holbæk;I alt;Alder i alt;2026K1;75009
Kalundborg;I alt;Alder i alt;2026K1;47954
Lolland;I alt;Alder i alt;2026K1;38533
Næstved;I alt;Alder i alt;2026K1;85163
Odsherred;I alt;Alder i alt;2026K1;31988
Ringsted;I alt;Alder i alt;2026K1;36010
Slagelse;I alt;Alder i alt;2026K1;80959
Sorø;I alt;Alder i alt;2026K1;30853
Stevns;I alt;Alder i alt;2026K1;23842
Vordingborg;I alt;Alder i alt;2026K1;44831
Region Syddanmark;I alt;Alder i alt;2026K1;1243914
Assens;I alt;Alder i alt;2026K1;40369
Faaborg-Midtfyn;I alt;Alder i alt;2026K1;52328
Kerteminde;I alt;Alder i alt;2026K1;24299
Langeland;I alt;Alder i alt;2026K1;11841
Middelfart;I alt;Alder i alt;2026K1;40625
Nordfyns;I alt;Alder i alt;2026K1;29179
Nyborg;I alt;Alder i alt;2026K1;32401
Odense;I alt;Alder i alt;2026K1;213168
Svendborg;I alt;Alder i alt;2026K1;60027
Ærø;I alt;Alder i alt;2026K1;5766
Billund;I alt;Alder i alt;2026K1;27200
Esbjerg;I alt;Alder i alt;2026K1;114947
Fanø;I alt;Alder i alt;2026K1;3332
Fredericia;I alt;Alder i alt;2026K1;52939
Haderslev;I alt;Alder i alt;2026K1;55218
Kolding;I alt;Alder i alt;2026K1;96214
Sønderborg;I alt;Alder i alt;2026K1;74123
Tønder;I alt;Alder i alt;2026K1;36174
Varde;I alt;Alder i alt;2026K1;49468
Vejen;I alt;Alder i alt;2026K1;42641
Vejle;I alt;Alder i alt;2026K1;123250
Aabenraa;I alt;Alder i alt;2026K1;58405
Region Midtjylland;I alt;Alder i alt;2026K1;1383261
Favrskov;I alt;Alder i alt;2026K1;49773
Hedensted;I alt;Alder i alt;2026K1;48578
Horsens;I alt;Alder i alt;2026K1;98806
Norddjurs;I alt;Alder i alt;2026K1;36477
Odder;I alt;Alder i alt;2026K1;24310
Randers;I alt;Alder i alt;2026K1;100564
Samsø;I alt;Alder i alt;2026K1;3617
Silkeborg;I alt;Alder i alt;2026K1;102753
Skanderborg;I alt;Alder i alt;2026K1;66352
Syddjurs;I alt;Alder i alt;2026K1;44394
Aarhus;I alt;Alder i alt;2026K1;378361
Herning;I alt;Alder i alt;2026K1;90546
Holstebro;I alt;Alder i alt;2026K1;59324
Ikast-Brande;I alt;Alder i alt;2026K1;43305
Lemvig;I alt;Alder i alt;2026K1;18596
Ringkøbing-Skjern;I alt;Alder i alt;2026K1;55405
Skive;I alt;Alder i alt;2026K1;44104
Struer;I alt;Alder i alt;2026K1;20122
Viborg;I alt;Alder i alt;2026K1;97874
Region Nordjylland;I alt;Alder i alt;2026K1;593114
Brønderslev;I alt;Alder i alt;2026K1;36529
Frederikshavn;I alt;Alder i alt;2026K1;57523
Hjørring;I alt;Alder i alt;2026K1;62979
Jammerbugt;I alt;Alder i alt;2026K1;37998
Læsø;I alt;Alder i alt;2026K1;1683
Mariagerfjord;I alt;Alder i alt;2026K1;41541
Morsø;I alt;Alder i alt;2026K1;19344
Rebild;I alt;Alder i alt;2026K1;31280
Thisted;I alt;Alder i alt;2026K1;42572
Vesthimmerlands;I alt;Alder i alt;2026K1;35632
Aalborg;I alt;Alder i alt;2026K1;226033
