kommune_kode,kommune_name,region,population,newspaper_count,weekly_count,daily_count,paid_count,free_count,score_per_10k,is_news_desert
101,København,Hovedstaden,652564,0,0,0,0,0,0.0,True
147,Frederiksberg,Hovedstaden,104305,0,0,0,0,0,0.0,True
151,Ballerup,Hovedstaden,49384,0,0,0,0,0,0.0,True
153,Brøndby,Hovedstaden,35698,0,0,0,0,0,0.0,True
155,Dragør,Hovedstaden,14338,0,0,0,0,0,0.0,True
157,Gentofte,Hovedstaden,75753,0,0,0,0,0,0.0,True
159,Gladsaxe,Hovedstaden,70031,0,0,0,0,0,0.0,True
161,Glostrup,Hovedstaden,23382,0,0,0,0,0,0.0,True
163,Herlev,Hovedstaden,28821,0,0,0,0,0,0.0,True
165,Albertslund,Hovedstaden,28072,0,0,0,0,0,0.0,True
167,Hvidovre,Hovedstaden,53835,0,0,0,0,0,0.0,True
169,Høje-Taastrup,Hovedstaden,52773,0,0,0,0,0,0.0,True
173,Lyngby-Taarbæk,Hovedstaden,56493,0,0,0,0,0,0.0,True
175,Rødovre,Hovedstaden,42132,0,0,0,0,0,0.0,True
183,Ishøj,Hovedstaden,23174,0,0,0,0,0,0.0,True
185,Tårnby,Hovedstaden,43713,0,0,0,0,0,0.0,True
187,Vallensbæk,Hovedstaden,16787,0,0,0,0,0,0.0,True
190,Furesø,Hovedstaden,41384,0,0,0,0,0,0.0,True
201,Allerød,Hovedstaden,26134,0,0,0,0,0,0.0,True
210,Fredensborg,Hovedstaden,41218,0,0,0,0,0,0.0,True
217,Helsingør,Hovedstaden,63569,0,0,0,0,0,0.0,True
219,Hillerød,Hovedstaden,53101,0,0,0,0,0,0.0,True
223,Hørsholm,Hovedstaden,25203,0,0,0,0,0,0.0,True
230,Rudersdal,Hovedstaden,57100,0,0,0,0,0,0.0,True
240,Egedal,Hovedstaden,44106,0,0,0,0,0,0.0,True
250,Frederikssund,Hovedstaden,46013,0,0,0,0,0,0.0,True
260,Halsnæs,Hovedstaden,31683,0,0,0,0,0,0.0,True
270,Gribskov,Hovedstaden,41709,0,0,0,0,0,0.0,True
400,Bornholm,Hovedstaden,39295,0,0,0,0,0,0.0,True
253,Greve,Sjælland,51403,0,0,0,0,0,0.0,True
259,Køge,Sjælland,62177,0,0,0,0,0,0.0,True
265,Roskilde,Sjælland,89101,0,0,0,0,0,0.0,True
269,Solrød,Sjælland,23498,0,0,0,0,0,0.0,True
306,Odsherred,Sjælland,33246,0,0,0,0,0,0.0,True
316,Holbæk,Sjælland,72024,0,0,0,0,0,0.0,True
320,Faxe,Sjælland,37165,0,0,0,0,0,0.0,True
326,Kalundborg,Sjælland,49198,0,0,0,0,0,0.0,True
329,Ringsted,Sjælland,35297,0,0,0,0,0,0.0,True
330,Slagelse,Sjælland,79961,0,0,0,0,0,0.0,True
336,Stevns,Sjælland,23232,0,0,0,0,0,0.0,True
340,Sorø,Sjælland,30249,0,0,0,0,0,0.0,True
350,Lejre,Sjælland,28509,0,0,0,0,0,0.0,True
360,Lolland,Sjælland,39882,0,0,0,0,0,0.0,True
370,Næstved,Sjælland,84204,0,0,0,0,0,0.0,True
376,Guldborgsund,Sjælland,59798,0,0,0,0,0,0.0,True
390,Vordingborg,Sjælland,46747,0,0,0,0,0,0.0,True
410,Middelfart,Syddanmark,39333,0,0,0,0,0,0.0,True
420,Assens,Syddanmark,41245,0,0,0,0,0,0.0,True
430,Faaborg-Midtfyn,Syddanmark,52089,0,0,0,0,0,0.0,True
440,Kerteminde,Syddanmark,24158,0,0,0,0,0,0.0,True
450,Nyborg,Syddanmark,32727,0,0,0,0,0,0.0,True
461,Odense,Syddanmark,206883,0,0,0,0,0,0.0,True
479,Svendborg,Syddanmark,59348,0,0,0,0,0,0.0,True
480,Nordfyns,Syddanmark,29897,0,0,0,0,0,0.0,True
482,Langeland,Syddanmark,12348,0,0,0,0,0,0.0,True
492,Ærø,Syddanmark,5927,0,0,0,0,0,0.0,True
510,Haderslev,Syddanmark,56127,2,1,1,1,1,0.356,False
530,Billund,Syddanmark,26798,0,0,0,0,0,0.0,True
540,Sønderborg,Syddanmark,73885,1,0,1,1,0,0.135,False
550,Tønder,Syddanmark,37252,0,0,0,0,0,0.0,True
561,Esbjerg,Syddanmark,116198,0,0,0,0,0,0.0,True
563,Fanø,Syddanmark,3446,0,0,0,0,0,0.0,True
573,Varde,Syddanmark,50781,0,0,0,0,0,0.0,True
575,Vejen,Syddanmark,43164,0,0,0,0,0,0.0,True
580,Aabenraa,Syddanmark,59681,1,0,1,1,0,0.168,False
607,Fredericia,Syddanmark,52134,0,0,0,0,0,0.0,True
615,Horsens,Syddanmark,92194,0,0,0,0,0,0.0,True
621,Kolding,Syddanmark,94034,1,1,0,0,1,0.106,False
630,Vejle,Syddanmark,118173,0,0,0,0,0,0.0,True
657,Herning,Midtjylland,90789,0,0,0,0,0,0.0,True
661,Holstebro,Midtjylland,59238,0,0,0,0,0,0.0,True
665,Lemvig,Midtjylland,19934,0,0,0,0,0,0.0,True
671,Struer,Midtjylland,21005,0,0,0,0,0,0.0,True
706,Syddjurs,Midtjylland,43406,0,0,0,0,0,0.0,True
707,Norddjurs,Midtjylland,37105,0,0,0,0,0,0.0,True
710,Favrskov,Midtjylland,49412,0,0,0,0,0,0.0,True
727,Odder,Midtjylland,23439,0,0,0,0,0,0.0,True
730,Randers,Midtjylland,98817,0,0,0,0,0,0.0,True
740,Silkeborg,Midtjylland,95920,0,0,0,0,0,0.0,True
