kommune_kode,avg_income,pct_higher_education,voter_turnout_pct
101,295836,28.1,59.97
147,344810,32.57,73.35
151,285035,10.48,65.88
153,251169,7.56,55.52
155,375847,15.49,75.9
157,570329,30.61,71.49
159,310421,17.67,62.43
161,280422,9.42,60.18
163,291266,10.25,63.27
165,248808,8.44,61.92
167,284383,10.65,60.79
169,269751,8.51,58.81
173,401048,26.67,70.4
175,282144,11.45,59.86
183,248266,7.16,56.26
185,299878,8.73,63.66
187,298557,12.25,66.0
190,371605,21.66,74.11
201,363562,19.58,78.88
210,344577,15.55,69.99
217,310173,10.68,68.57
219,320229,12.62,69.54
223,452520,23.4,75.24
230,538360,27.52,74.07
240,319596,10.67,71.9
250,284504,6.75,69.22
260,268127,5.21,65.89
270,292834,7.41,69.43
400,242923,5.02,72.91
253,306548,8.86,65.41
259,291848,7.31,68.42
265,323534,13.77,69.97
269,336771,9.95,73.35
306,250261,4.16,67.75
316,277859,5.99,70.16
320,262570,4.53,64.39
326,272926,4.01,65.14
329,275838,6.71,65.81
330,257137,5.02,63.67
336,277295,5.58,68.91
340,276440,7.91,66.73
350,305283,10.22,74.13
360,235450,2.64,63.05
370,264921,5.07,65.62
376,246113,4.18,67.69
390,253932,5.12,68.1
410,285877,7.43,70.85
420,252783,5.2,70.12
430,254250,5.23,69.15
440,267813,5.7,72.64
450,256450,5.62,73.87
461,257928,13.29,65.53
479,263984,6.26,70.95
480,252071,4.73,68.78
482,229128,3.69,72.76
492,235120,5.68,77.79
510,251031,5.0,68.32
530,286776,4.66,68.33
540,255717,7.03,69.07
550,249158,3.59,69.81
561,274660,6.02,64.18
563,277700,10.01,82.41
573,268401,3.95,68.42
575,361047,4.38,68.3
580,259641,4.95,66.54
607,268774,6.15,64.6
615,271024,6.71,63.83
621,275204,8.73,69.09
630,291272,8.6,67.14
657,273181,5.51,68.82
661,269279,5.27,71.93
665,273175,3.97,73.09
671,254689,4.3,72.29
706,271971,7.82,71.06
707,249494,3.23,66.25
710,285147,9.51,73.11
727,277813,8.51,74.79
730,256955,5.64,64.59
740,289539,8.58,73.34
741,248849,7.26,81.39
746,307806,12.85,74.34
751,281588,19.91,68.21
756,265794,4.95,66.7
760,270125,4.31,70.11
766,276539,4.07,70.01
773,246623,3.01,73.23
779,258877,3.83,71.08
787,252934,4.4,69.55
791,268000,7.04,70.08
810,255600,5.32,69.94
813,258890,3.56,68.13
820,253230,3.58,67.07
825,240554,3.43,80.79
840,291879,9.72,75.8
846,262216,5.05,67.69
849,254538,4.73,72.37
851,266935,14.08,64.61
860,255917,4.25,69.63
