kommune_kode,kommune_name,region,population,newspaper_count,weekly_count,daily_count,paid_count,free_count,score_per_10k,is_news_desert
410,Middelfart,Syddanmark,40625,2,1,1,1,1,0.492,False
420,Assens,Syddanmark,40369,2,1,1,1,1,0.495,False
430,Faaborg-Midtfyn,Syddanmark,52328,3,2,1,1,2,0.573,False
440,Kerteminde,Syddanmark,24299,2,1,1,1,1,0.823,False
450,Nyborg,Syddanmark,32401,2,1,1,1,1,0.617,False
461,Odense,Syddanmark,213168,2,1,1,1,1,0.094,False
479,Svendborg,Syddanmark,60027,2,1,1,1,1,0.333,False
480,Nordfyns,Syddanmark,29179,2,1,1,1,1,0.685,False
482,Langeland,Syddanmark,11841,2,1,1,1,1,1.689,False
492,Ærø,Syddanmark,5766,1,0,1,1,0,1.734,False
510,Haderslev,Syddanmark,55218,4,1,1,1,3,0.724,False
530,Billund,Syddanmark,27200,2,1,1,1,1,0.735,False
540,Sønderborg,Syddanmark,74123,5,2,1,1,4,0.675,False
550,Tønder,Syddanmark,36174,4,1,1,1,3,1.106,False
561,Esbjerg,Syddanmark,114947,4,3,1,1,3,0.348,False
563,Fanø,Syddanmark,3332,0,0,0,0,0,0.0,True
573,Varde,Syddanmark,49468,2,1,1,1,1,0.404,False
575,Vejen,Syddanmark,42641,2,1,1,1,1,0.469,False
580,Aabenraa,Syddanmark,58405,4,1,1,1,3,0.685,False
607,Fredericia,Syddanmark,52939,4,2,2,2,2,0.756,False
615,Horsens,Syddanmark,98806,2,1,1,1,1,0.202,False
621,Kolding,Syddanmark,96214,3,2,1,1,2,0.312,False
630,Vejle,Syddanmark,123250,4,3,1,1,3,0.325,False
